"Language_ID","Form","Source","Cognateset_ID","Transitivity"
"kax","ee+hɨ","pc[Spike Gildea]","DETRZ1+bathe_1","INTR"
"kax","ɨhɨ","pc[Spike Gildea]","bathe_1","TR"
"hix","ewe+hɨ","hixkaryanaderby1979[198]","DETRZ1+bathe_1","INTR"
"hix","ɨhɨ","hixkaryanaderby1979[198]","bathe_1","TR"
"wai","eje+ɸu","waiwaihawkins1998[203]","DETRZ1+bathe_1","INTR"
"wai","pɨ","waiwaihawkins1998[192]","bathe_1","TR"
"ara","ibɨ","alves2017arara[150]","DETRZ1+bathe_1","INTR"
"ara","ɨp","alves2017arara[162]","bathe_1","TR"
"ikp","ip","ikpengpacheco1997[103]","DETRZ1+bathe_1","INTR"
"ikp","ɨp","campetela1997analise[123]","bathe_1","TR"
"bak","i","meira2003bakairi[4]","DETRZ1","INTR"
"bak","ɨ","meira2005bakairi[285]","bathe_1","TR"
"tri","e+pɨ","triomeira1999[697]","DETRZ1+bathe_1","INTR"
"tri","pɨ","triomeira1999[697]","bathe_1","TR"
"aku","e+pɨ","gildea1994akuriyo[87]","DETRZ1+bathe_1","INTR"
"aku","pɨ","gildea1994akuriyo[87]","bathe_1","TR"
"way","e+pɨ","camargo2010wayana[24]","DETRZ1+bathe_1","INTR"
"way","upɨ","camargo2010wayana[52]","bathe_1","TR"
"apa","e+pɨ","meira2000split[218]","DETRZ1+bathe_1","INTR"
"apa","pɨ","meira2000split[218]","bathe_1","TR"
"kar","e+kupi","courtz2008carib[304]","DETRZ1+bathe_2","INTR"
"kar","kupi","courtz2008carib[304]","bathe_2","TR"
"mak","e+ʔhi","maquiritaricaceres2011[439]","DETRZ1+bathe_2","INTR"
"mak","ɨhɨ","maquiritaricaceres2011[454]","bathe_1","TR"
"kap","e+kuʔpi","stegeman2014akawaio[37]","DETRZ1+bathe_2","INTR"
"kap","kuʔpi","stegeman2014akawaio[37]","bathe_2","TR"
"pem","e+kupɨ","pemondearmellada1944dic[34]","DETRZ1+bathe_2","INTR"
"pem","pɨ","pemondearmellada1944dic[129]","bathe_1","TR"
"pan","a+kupɨ","mattei1994diccionario[8]","DETRZ+bathe_2","INTR"
"pan","kupɨ","mattei1994diccionario[294]","bathe_2","TR"
"pan","ɨpɨ","mattei1994diccionario[294]","bathe_1","TR"
