ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
wbak,Western Bakairi,,-14.163292,-55.463912,,
ebak,Eastern Bakairi,,-14.301823,-54.625822,,
ing,Ingarikó,,6.16277,-60.862,inga1250,
aka,Akawaio,,6.16,-60.86,akaw1239,
pat,Patamona,,4.76,-59.58,pata1262,
yuk,Yukpa,,9.67534,-73.0557,yukp1241,
car,Karijona,,1.21894,-72.0664,cari1279,
map,Mapoyo,,5.96952,-67.2581,mapo1246,
yab,Yawarana,,5.32692,-66.276,yaba1248,
pan,Panare,,6.95035,-65.8483,enap1235,
mak,Ye'kwana,,,,maqu1238,
pem,Pemón,,4.97031,-61.4033,pemo1248,
kap,Kapong,,6.16277,-60.862,kapo1251,
wmr,Waimiri-Atroari,,-0.61832,-60.4259,waim1253,
mac,Macushi,,4.31861,-60.2209,macu1259,
wai,Waiwai,,1.50881,-59.1417,waiw1244,
hix,Hixkaryána,,-0.16265,-58.80153,hixk1239,
kax,Werikyana,,2.17138,-55.9101,kaxu1237,
tri,Tiriyó,,2.53616,-55.7599,trio1238,
aku,Akuriyó,,3.19607,-55.6294,akur1238,
apa,Apalaí,,1.49792,-54.7457,apal1257,
way,Wayana,,2.77537,-54.4429,waya1269,
ikp,Ikpeng,,-11.37822,-53.49553,ikpe1245,
ara,Arara,,-3.71263,-53.0657,para1310,
kar,Kari'ña,,,,gali1262,
uxc,Upper Xingu Carib,,,,nucl1656,
bak,Bakairi,,,,baka1277,
PPar,Proto-Parukotoan,,,,paru1239,
PWai,Proto-Waiwaian,,,,waiw1245,
PPek,Proto-Pekodian,,,,peko1235,
PTar,Proto-Taranoan,,,,tara1324,
PTir,Proto-Tiriyoan,,,,tiri1260,
