ID,Name,Glottocode,Longitude,Latitude
apa,Apalaí,apal1257,-54.7457,1.49792
tri,Tiriyó,trio1238,-55.7599,2.53616
hix,Hixkaryána,hixk1239,-58.80153,-0.16265
pan,Panare,enap1235,-65.8483,6.95035
mac,Macushi,macu1259,-60.2209,4.31861
wmr,Waimiri-Atroari,waim1253,-60.4259,-0.61832
mak,Ye'kwana,maqu1238,-64.3877,4.70705
wai,Waiwai,waiw1244,-59.1417,1.50881
way,Wayana,waya1269,-54.4429,2.77537
kar,Kari'ña,gali1262,-56.8323,5.83772
ikp,Ikpeng,ikpe1245,-53.49553,-11.37822
uxc,Upper Xingu Carib,nucl1656,-53.2261,-12.3035
ara,Arara,para1310,-53.0657,-3.71263
ing,Ingarikó,inga1250,-60.862,6.16277
pem,Pemón,pemo1248,-61.4033,4.97031
kap,Kapón,kapo1251,-60.862,6.16277
yuk,Yukpa,yukp1241,-73.0557,9.67534
car,Karijona,cari1279,-72.0664,1.21894
bak,Bakairi,baka1277,-54.7034,-14.2628
kax,Werikyana,kaxu1237,-55.9101,2.17138
aku,Akuriyó,akur1238,-55.6294,3.19607
pat,Patamona,pata1262,-59.58,4.76
aka,Akawaio,akaw1239,-60.86,6.16
map,Mapoyo,mapo1246,-66.276,5.32692
yab,Yawarana,yaba1248,-67.2581,5.96952
PPar,Proto-Parukotoan,paru1239,,
PWai,Proto-Waiwaian,waiw1245,,
PPek,Proto-Pekodian,peko1235,,
PTir,Proto-Tiriyoan,tiri1260,,
